week_date,artist,streams,is_umg,is_blackout
2024-01-04,Billie Eilish,23364441,1,0
2024-01-04,Noah Kahan,20766879,1,0
2024-01-04,Dua Lipa,39921227,0,0
2024-01-04,Travis Scott,37192506,0,0
2024-01-04,Ed Sheeran,8404086,0,0
2024-01-04,Miley Cyrus,23867548,0,0
2024-01-04,SZA,39937432,0,0
2024-01-04,Harry Styles,16955059,0,0
2024-01-04,Jack Harlow,44509272,0,0
2024-01-04,Tate McRae,45137488,0,0
2024-01-11,Billie Eilish,25986221,1,0
2024-01-11,Noah Kahan,24788155,1,0
2024-01-11,Dua Lipa,38572437,0,0
2024-01-11,Travis Scott,48843081,0,0
2024-01-11,Ed Sheeran,8600094,0,0
2024-01-11,Miley Cyrus,14548483,0,0
2024-01-11,SZA,43522767,0,0
2024-01-11,Harry Styles,15967765,0,0
2024-01-11,Jack Harlow,45933479,0,0
2024-01-11,Tate McRae,46212263,0,0
2024-01-18,Billie Eilish,27648954,1,0
2024-01-18,Noah Kahan,26502009,1,0
2024-01-18,Dua Lipa,40182761,0,0
2024-01-18,Travis Scott,71575537,0,0
2024-01-18,Ed Sheeran,9014220,0,0
2024-01-18,Miley Cyrus,14074246,0,0
2024-01-18,SZA,42428179,0,0
2024-01-18,Harry Styles,15829608,0,0
2024-01-18,Jack Harlow,45429655,0,0
2024-01-18,Tate McRae,48358082,0,0
2024-01-25,Billie Eilish,27603441,1,0
2024-01-25,Noah Kahan,28528162,1,0
2024-01-25,Dua Lipa,40805168,0,0
2024-01-25,Travis Scott,66012108,0,0
2024-01-25,Ed Sheeran,9147003,0,0
2024-01-25,Miley Cyrus,13766503,0,0
2024-01-25,SZA,40786493,0,0
2024-01-25,Harry Styles,16202738,0,0
2024-01-25,Jack Harlow,45634266,0,0
2024-01-25,Tate McRae,48019772,0,0
2024-02-01,Billie Eilish,26386943,1,1
2024-02-01,Noah Kahan,28868638,1,1
2024-02-01,Dua Lipa,40689290,0,1
2024-02-01,Travis Scott,63425696,0,1
2024-02-01,Ed Sheeran,9299761,0,1
2024-02-01,Miley Cyrus,13417322,0,1
2024-02-01,SZA,40540448,0,1
2024-02-01,Harry Styles,15868437,0,1
2024-02-01,Jack Harlow,41543748,0,1
2024-02-01,Tate McRae,46775892,0,1
2024-02-08,Billie Eilish,28483525,1,1
2024-02-08,Noah Kahan,28596970,1,1
2024-02-08,Dua Lipa,41485867,0,1
2024-02-08,Travis Scott,65528867,0,1
2024-02-08,Ed Sheeran,9452743,0,1
2024-02-08,Miley Cyrus,18256996,0,1
2024-02-08,SZA,45389991,0,1
2024-02-08,Harry Styles,16004404,0,1
2024-02-08,Jack Harlow,38698413,0,1
2024-02-08,Tate McRae,47913994,0,1
2024-02-15,Billie Eilish,26939298,1,1
2024-02-15,Noah Kahan,39580755,1,1
2024-02-15,Dua Lipa,31230175,0,1
2024-02-15,Travis Scott,55601598,0,1
2024-02-15,Ed Sheeran,9343372,0,1
2024-02-15,Miley Cyrus,20884069,0,1
2024-02-15,SZA,45808227,0,1
2024-02-15,Harry Styles,14939730,0,1
2024-02-15,Jack Harlow,35734442,0,1
2024-02-15,Tate McRae,44366949,0,1
2024-02-22,Billie Eilish,25789550,1,1
2024-02-22,Noah Kahan,27068008,1,1
2024-02-22,Dua Lipa,65329536,0,1
2024-02-22,Travis Scott,54584270,0,1
2024-02-22,Ed Sheeran,9171083,0,1
2024-02-22,Miley Cyrus,19391855,0,1
2024-02-22,SZA,45698788,0,1
2024-02-22,Harry Styles,14907002,0,1
2024-02-22,Jack Harlow,34497435,0,1
2024-02-22,Tate McRae,45515036,0,1
2024-02-29,Billie Eilish,24870962,1,1
2024-02-29,Noah Kahan,27791888,1,1
2024-02-29,Dua Lipa,58795762,0,1
2024-02-29,Travis Scott,55087376,0,1
2024-02-29,Ed Sheeran,8993160,0,1
2024-02-29,Miley Cyrus,16931600,0,1
2024-02-29,SZA,72730440,0,1
2024-02-29,Harry Styles,14924821,0,1
2024-02-29,Jack Harlow,32855588,0,1
2024-02-29,Tate McRae,43604499,0,1
2024-03-07,Billie Eilish,24499926,1,1
2024-03-07,Noah Kahan,26463313,1,1
2024-03-07,Dua Lipa,57168284,0,1
2024-03-07,Travis Scott,54338650,0,1
2024-03-07,Ed Sheeran,9145949,0,1
2024-03-07,Miley Cyrus,35187815,0,1
2024-03-07,SZA,69629700,0,1
2024-03-07,Harry Styles,23800682,0,1
2024-03-07,Jack Harlow,31738457,0,1
2024-03-07,Tate McRae,48150351,0,1
2024-03-14,Billie Eilish,27205212,1,1
2024-03-14,Noah Kahan,24267687,1,1
2024-03-14,Dua Lipa,56157656,0,1
2024-03-14,Travis Scott,54825165,0,1
2024-03-14,Ed Sheeran,8929035,0,1
2024-03-14,Miley Cyrus,16228016,0,1
2024-03-14,SZA,59975069,0,1
2024-03-14,Harry Styles,23797866,0,1
2024-03-14,Jack Harlow,29782154,0,1
2024-03-14,Tate McRae,46904195,0,1
2024-03-21,Billie Eilish,27022278,1,1
2024-03-21,Noah Kahan,24225119,1,1
2024-03-21,Dua Lipa,54822883,0,1
2024-03-21,Travis Scott,48811043,0,1
2024-03-21,Ed Sheeran,8827570,0,1
2024-03-21,Miley Cyrus,15095587,0,1
2024-03-21,SZA,55951786,0,1
2024-03-21,Harry Styles,23747928,0,1
2024-03-21,Jack Harlow,28189391,0,1
2024-03-21,Tate McRae,43410624,0,1
2024-03-28,Billie Eilish,24770031,1,1
2024-03-28,Noah Kahan,24060041,1,1
2024-03-28,Dua Lipa,53062559,0,1
2024-03-28,Travis Scott,91457168,0,1
2024-03-28,Ed Sheeran,8616505,0,1
2024-03-28,Miley Cyrus,14428279,0,1
2024-03-28,SZA,52383408,0,1
2024-03-28,Harry Styles,23430597,0,1
2024-03-28,Jack Harlow,26920378,0,1
2024-03-28,Tate McRae,42602759,0,1
2024-04-04,Billie Eilish,22464858,1,1
2024-04-04,Noah Kahan,22291718,1,1
2024-04-04,Dua Lipa,49804984,0,1
2024-04-04,Travis Scott,66648789,0,1
2024-04-04,Ed Sheeran,0,0,1
2024-04-04,Miley Cyrus,38462235,0,1
2024-04-04,SZA,50265461,0,1
2024-04-04,Harry Styles,22878270,0,1
2024-04-04,Jack Harlow,25085133,0,1
2024-04-04,Tate McRae,39871698,0,1
2024-04-11,Billie Eilish,34405048,1,1
2024-04-11,Noah Kahan,23902124,1,1
2024-04-11,Dua Lipa,50728982,0,1
2024-04-11,Travis Scott,62695693,0,1
2024-04-11,Ed Sheeran,0,0,1
2024-04-11,Miley Cyrus,26884157,0,1
2024-04-11,SZA,59418338,0,1
2024-04-11,Harry Styles,23121377,0,1
2024-04-11,Jack Harlow,23467658,0,1
2024-04-11,Tate McRae,32247470,0,1
2024-04-18,Billie Eilish,32705162,1,1
2024-04-18,Noah Kahan,23881825,1,1
2024-04-18,Dua Lipa,67301159,0,1
2024-04-18,Travis Scott,58486508,0,1
2024-04-18,Ed Sheeran,0,0,1
2024-04-18,Miley Cyrus,21487958,0,1
2024-04-18,SZA,61669065,0,1
2024-04-18,Harry Styles,23569181,0,1
2024-04-18,Jack Harlow,22984604,0,1
2024-04-18,Tate McRae,31311587,0,1
2024-04-25,Billie Eilish,22368944,1,1
2024-04-25,Noah Kahan,21229247,1,1
2024-04-25,Dua Lipa,50755649,0,1
2024-04-25,Travis Scott,55216276,0,1
2024-04-25,Ed Sheeran,0,0,1
2024-04-25,Miley Cyrus,12391557,0,1
2024-04-25,SZA,48131593,0,1
2024-04-25,Harry Styles,23006879,0,1
2024-04-25,Jack Harlow,22559160,0,1
2024-04-25,Tate McRae,29661409,0,1
2024-05-02,Billie Eilish,22483655,1,1
2024-05-02,Noah Kahan,20192543,1,1
2024-05-02,Dua Lipa,37046523,0,1
2024-05-02,Travis Scott,44429044,0,1
2024-05-02,Ed Sheeran,0,0,1
2024-05-02,Miley Cyrus,13250434,0,1
2024-05-02,SZA,58180798,0,1
2024-05-02,Harry Styles,25208924,0,1
2024-05-02,Jack Harlow,12162525,0,1
2024-05-02,Tate McRae,27307243,0,1
2024-05-09,Billie Eilish,22199631,1,0
2024-05-09,Noah Kahan,19268907,1,0
2024-05-09,Dua Lipa,66246108,0,0
2024-05-09,Travis Scott,54767505,0,0
2024-05-09,Ed Sheeran,0,0,0
2024-05-09,Miley Cyrus,15123735,0,0
2024-05-09,SZA,73808740,0,0
2024-05-09,Harry Styles,29139089,0,0
2024-05-09,Jack Harlow,11705157,0,0
2024-05-09,Tate McRae,21247307,0,0
2024-05-16,Billie Eilish,21511888,1,0
2024-05-16,Noah Kahan,18619219,1,0
2024-05-16,Dua Lipa,31738324,0,0
2024-05-16,Travis Scott,56142741,0,0
2024-05-16,Ed Sheeran,0,0,0
2024-05-16,Miley Cyrus,14863361,0,0
2024-05-16,SZA,76366286,0,0
2024-05-16,Harry Styles,31393007,0,0
2024-05-16,Jack Harlow,11369349,0,0
2024-05-16,Tate McRae,20241190,0,0
2024-05-23,Billie Eilish,413585451,1,0
2024-05-23,Noah Kahan,18195118,1,0
2024-05-23,Dua Lipa,28505507,0,0
2024-05-23,Travis Scott,52978765,0,0
2024-05-23,Ed Sheeran,0,0,0
2024-05-23,Miley Cyrus,15020204,0,0
2024-05-23,SZA,74227795,0,0
2024-05-23,Harry Styles,31164884,0,0
2024-05-23,Jack Harlow,10782434,0,0
2024-05-23,Tate McRae,19298946,0,0
2024-05-30,Billie Eilish,313306921,1,0
2024-05-30,Noah Kahan,18262334,1,0
2024-05-30,Dua Lipa,18272134,0,0
2024-05-30,Travis Scott,51236560,0,0
2024-05-30,Ed Sheeran,0,0,0
2024-05-30,Miley Cyrus,14932264,0,0
2024-05-30,SZA,68600537,0,0
2024-05-30,Harry Styles,31523190,0,0
2024-05-30,Jack Harlow,10178266,0,0
2024-05-30,Tate McRae,17918012,0,0
2024-06-06,Billie Eilish,272607187,1,0
2024-06-06,Noah Kahan,17311776,1,0
2024-06-06,Dua Lipa,38357970,0,0
2024-06-06,Travis Scott,48786111,0,0
2024-06-06,Ed Sheeran,0,0,0
2024-06-06,Miley Cyrus,14745397,0,0
2024-06-06,SZA,66775169,0,0
2024-06-06,Harry Styles,31483256,0,0
2024-06-06,Jack Harlow,9666275,0,0
2024-06-06,Tate McRae,16482686,0,0
2024-06-13,Billie Eilish,267514446,1,0
2024-06-13,Noah Kahan,16879953,1,0
2024-06-13,Dua Lipa,20224044,0,0
2024-06-13,Travis Scott,47463935,0,0
2024-06-13,Ed Sheeran,0,0,0
2024-06-13,Miley Cyrus,14667075,0,0
2024-06-13,SZA,65478342,0,0
2024-06-13,Harry Styles,30065244,0,0
2024-06-13,Jack Harlow,9584083,0,0
2024-06-13,Tate McRae,16235828,0,0
2024-06-20,Billie Eilish,213671666,1,0
2024-06-20,Noah Kahan,16233371,1,0
2024-06-20,Dua Lipa,27814471,0,0
2024-06-20,Travis Scott,35618063,0,0
2024-06-20,Ed Sheeran,0,0,0
2024-06-20,Miley Cyrus,13991542,0,0
2024-06-20,SZA,63806674,0,0
2024-06-20,Harry Styles,31296894,0,0
2024-06-20,Jack Harlow,8767566,0,0
2024-06-20,Tate McRae,15438235,0,0
2024-06-27,Billie Eilish,165846126,1,0
2024-06-27,Noah Kahan,15245531,1,0
2024-06-27,Dua Lipa,37150722,0,0
2024-06-27,Travis Scott,46786029,0,0
2024-06-27,Ed Sheeran,0,0,0
2024-06-27,Miley Cyrus,14244358,0,0
2024-06-27,SZA,62335324,0,0
2024-06-27,Harry Styles,33806389,0,0
2024-06-27,Jack Harlow,0,0,0
2024-06-27,Tate McRae,14366789,0,0
2024-07-04,Billie Eilish,157255010,1,0
2024-07-04,Noah Kahan,14503221,1,0
2024-07-04,Dua Lipa,37729028,0,0
2024-07-04,Travis Scott,53893469,0,0
2024-07-04,Ed Sheeran,0,0,0
2024-07-04,Miley Cyrus,23457322,0,0
2024-07-04,SZA,61740874,0,0
2024-07-04,Harry Styles,33037652,0,0
2024-07-04,Jack Harlow,0,0,0
2024-07-04,Tate McRae,13770129,0,0
2024-07-11,Billie Eilish,151899731,1,0
2024-07-11,Noah Kahan,14525443,1,0
2024-07-11,Dua Lipa,36012366,0,0
2024-07-11,Travis Scott,41963429,0,0
2024-07-11,Ed Sheeran,0,0,0
2024-07-11,Miley Cyrus,22991112,0,0
2024-07-11,SZA,59832348,0,0
2024-07-11,Harry Styles,30902061,0,0
2024-07-11,Jack Harlow,0,0,0
2024-07-11,Tate McRae,13273730,0,0
2024-07-18,Billie Eilish,148464408,1,0
2024-07-18,Noah Kahan,14240164,1,0
2024-07-18,Dua Lipa,36386048,0,0
2024-07-18,Travis Scott,33985501,0,0
2024-07-18,Ed Sheeran,0,0,0
2024-07-18,Miley Cyrus,13966353,0,0
2024-07-18,SZA,58698933,0,0
2024-07-18,Harry Styles,33193920,0,0
2024-07-18,Jack Harlow,0,0,0
2024-07-18,Tate McRae,13254582,0,0
2024-07-25,Billie Eilish,142309329,1,0
2024-07-25,Noah Kahan,14912640,1,0
2024-07-25,Dua Lipa,18801010,0,0
2024-07-25,Travis Scott,45585700,0,0
2024-07-25,Ed Sheeran,0,0,0
2024-07-25,Miley Cyrus,13670213,0,0
2024-07-25,SZA,56747000,0,0
2024-07-25,Harry Styles,32563642,0,0
2024-07-25,Jack Harlow,0,0,0
2024-07-25,Tate McRae,12941867,0,0
2024-08-01,Billie Eilish,125768595,1,0
2024-08-01,Noah Kahan,14859132,1,0
2024-08-01,Dua Lipa,17712408,0,0
2024-08-01,Travis Scott,56919097,0,0
2024-08-01,Ed Sheeran,0,0,0
2024-08-01,Miley Cyrus,13203612,0,0
2024-08-01,SZA,56170278,0,0
2024-08-01,Harry Styles,28806598,0,0
2024-08-01,Jack Harlow,0,0,0
2024-08-01,Tate McRae,12530697,0,0
2024-08-08,Billie Eilish,177123176,1,0
2024-08-08,Noah Kahan,14324752,1,0
2024-08-08,Dua Lipa,17563312,0,0
2024-08-08,Travis Scott,35485162,0,0
2024-08-08,Ed Sheeran,0,0,0
2024-08-08,Miley Cyrus,10418197,0,0
2024-08-08,SZA,35582003,0,0
2024-08-08,Harry Styles,13751285,0,0
2024-08-08,Jack Harlow,0,0,0
2024-08-08,Tate McRae,12464685,0,0
2024-08-15,Billie Eilish,163170480,1,0
2024-08-15,Noah Kahan,14455973,1,0
2024-08-15,Dua Lipa,8690852,0,0
2024-08-15,Travis Scott,33669283,0,0
2024-08-15,Ed Sheeran,0,0,0
2024-08-15,Miley Cyrus,10050579,0,0
2024-08-15,SZA,35028493,0,0
2024-08-15,Harry Styles,12896340,0,0
2024-08-15,Jack Harlow,0,0,0
2024-08-15,Tate McRae,12290297,0,0
2024-08-22,Billie Eilish,156186633,1,0
2024-08-22,Noah Kahan,14482643,1,0
2024-08-22,Dua Lipa,8847656,0,0
2024-08-22,Travis Scott,33288243,0,0
2024-08-22,Ed Sheeran,0,0,0
2024-08-22,Miley Cyrus,10141053,0,0
2024-08-22,SZA,36514048,0,0
2024-08-22,Harry Styles,13144254,0,0
2024-08-22,Jack Harlow,0,0,0
2024-08-22,Tate McRae,12327679,0,0
2024-08-29,Billie Eilish,153246375,1,0
2024-08-29,Noah Kahan,14065795,1,0
2024-08-29,Dua Lipa,0,0,0
2024-08-29,Travis Scott,34685916,0,0
2024-08-29,Ed Sheeran,0,0,0
2024-08-29,Miley Cyrus,10004998,0,0
2024-08-29,SZA,35023801,0,0
2024-08-29,Harry Styles,12490007,0,0
2024-08-29,Jack Harlow,0,0,0
2024-08-29,Tate McRae,12170547,0,0
2024-09-05,Billie Eilish,145938580,1,0
2024-09-05,Noah Kahan,13144761,1,0
2024-09-05,Dua Lipa,0,0,0
2024-09-05,Travis Scott,33174470,0,0
2024-09-05,Ed Sheeran,0,0,0
2024-09-05,Miley Cyrus,9509793,0,0
2024-09-05,SZA,33902710,0,0
2024-09-05,Harry Styles,12293049,0,0
2024-09-05,Jack Harlow,0,0,0
2024-09-05,Tate McRae,11654138,0,0
2024-09-12,Billie Eilish,142411982,1,0
2024-09-12,Noah Kahan,12936248,1,0
2024-09-12,Dua Lipa,0,0,0
2024-09-12,Travis Scott,26503266,0,0
2024-09-12,Ed Sheeran,0,0,0
2024-09-12,Miley Cyrus,9350920,0,0
2024-09-12,SZA,34437888,0,0
2024-09-12,Harry Styles,12079360,0,0
2024-09-12,Jack Harlow,0,0,0
2024-09-12,Tate McRae,11247246,0,0
2024-09-19,Billie Eilish,140742163,1,0
2024-09-19,Noah Kahan,13302242,1,0
2024-09-19,Dua Lipa,0,0,0
2024-09-19,Travis Scott,48231077,0,0
2024-09-19,Ed Sheeran,9848321,0,0
2024-09-19,Miley Cyrus,9317062,0,0
2024-09-19,SZA,34746290,0,0
2024-09-19,Harry Styles,11550320,0,0
2024-09-19,Jack Harlow,0,0,0
2024-09-19,Tate McRae,29482775,0,0
2024-09-26,Billie Eilish,138662954,1,0
2024-09-26,Noah Kahan,13130557,1,0
2024-09-26,Dua Lipa,0,0,0
2024-09-26,Travis Scott,29153433,0,0
2024-09-26,Ed Sheeran,9939026,0,0
2024-09-26,Miley Cyrus,9139546,0,0
2024-09-26,SZA,34565517,0,0
2024-09-26,Harry Styles,11189340,0,0
2024-09-26,Jack Harlow,0,0,0
2024-09-26,Tate McRae,26568853,0,0
2024-10-03,Billie Eilish,149439240,1,0
2024-10-03,Noah Kahan,12948689,1,0
2024-10-03,Dua Lipa,0,0,0
2024-10-03,Travis Scott,39089973,0,0
2024-10-03,Ed Sheeran,28650625,0,0
2024-10-03,Miley Cyrus,10359923,0,0
2024-10-03,SZA,34777644,0,0
2024-10-03,Harry Styles,11346190,0,0
2024-10-03,Jack Harlow,0,0,0
2024-10-03,Tate McRae,23224154,0,0
2024-10-10,Billie Eilish,148665924,1,0
2024-10-10,Noah Kahan,13172337,1,0
2024-10-10,Dua Lipa,0,0,0
2024-10-10,Travis Scott,51144656,0,0
2024-10-10,Ed Sheeran,32039507,0,0
2024-10-10,Miley Cyrus,12336561,0,0
2024-10-10,SZA,45130722,0,0
2024-10-10,Harry Styles,11444797,0,0
2024-10-10,Jack Harlow,0,0,0
2024-10-10,Tate McRae,22262189,0,0
2024-10-17,Billie Eilish,137115040,1,0
2024-10-17,Noah Kahan,12358575,1,0
2024-10-17,Dua Lipa,0,0,0
2024-10-17,Travis Scott,49342648,0,0
2024-10-17,Ed Sheeran,29744396,0,0
2024-10-17,Miley Cyrus,11681911,0,0
2024-10-17,SZA,53680814,0,0
2024-10-17,Harry Styles,11063962,0,0
2024-10-17,Jack Harlow,0,0,0
2024-10-17,Tate McRae,20634625,0,0
2024-10-24,Billie Eilish,134822006,1,0
2024-10-24,Noah Kahan,12000809,1,0
2024-10-24,Dua Lipa,0,0,0
2024-10-24,Travis Scott,48354646,0,0
2024-10-24,Ed Sheeran,29569733,0,0
2024-10-24,Miley Cyrus,11652509,0,0
2024-10-24,SZA,52681108,0,0
2024-10-24,Harry Styles,12138496,0,0
2024-10-24,Jack Harlow,0,0,0
2024-10-24,Tate McRae,10194592,0,0
2024-10-31,Billie Eilish,121585033,1,0
2024-10-31,Noah Kahan,10988870,1,0
2024-10-31,Dua Lipa,0,0,0
2024-10-31,Travis Scott,48337928,0,0
2024-10-31,Ed Sheeran,29600878,0,0
2024-10-31,Miley Cyrus,11860535,0,0
2024-10-31,SZA,35576482,0,0
2024-10-31,Harry Styles,11423308,0,0
2024-10-31,Jack Harlow,0,0,0
2024-10-31,Tate McRae,9920010,0,0
2024-11-07,Billie Eilish,125087943,1,0
2024-11-07,Noah Kahan,10688337,1,0
2024-11-07,Dua Lipa,0,0,0
2024-11-07,Travis Scott,36044554,0,0
2024-11-07,Ed Sheeran,29981586,0,0
2024-11-07,Miley Cyrus,11296449,0,0
2024-11-07,SZA,41959465,0,0
2024-11-07,Harry Styles,10704411,0,0
2024-11-07,Jack Harlow,0,0,0
2024-11-07,Tate McRae,9281989,0,0
2024-11-14,Billie Eilish,140546406,1,0
2024-11-14,Noah Kahan,11553247,1,0
2024-11-14,Dua Lipa,0,0,0
2024-11-14,Travis Scott,35376185,0,0
2024-11-14,Ed Sheeran,31816635,0,0
2024-11-14,Miley Cyrus,11657360,0,0
2024-11-14,SZA,32010691,0,0
2024-11-14,Harry Styles,10955377,0,0
2024-11-14,Jack Harlow,0,0,0
2024-11-14,Tate McRae,9953641,0,0
2024-11-21,Billie Eilish,121313452,1,0
2024-11-21,Noah Kahan,11151518,1,0
2024-11-21,Dua Lipa,0,0,0
2024-11-21,Travis Scott,34084563,0,0
2024-11-21,Ed Sheeran,31657413,0,0
2024-11-21,Miley Cyrus,11256174,0,0
2024-11-21,SZA,33475214,0,0
2024-11-21,Harry Styles,11032019,0,0
2024-11-21,Jack Harlow,0,0,0
2024-11-21,Tate McRae,35256736,0,0
2024-11-28,Billie Eilish,107627909,1,0
2024-11-28,Noah Kahan,10966523,1,0
2024-11-28,Dua Lipa,0,0,0
2024-11-28,Travis Scott,32791620,0,0
2024-11-28,Ed Sheeran,31063509,0,0
2024-11-28,Miley Cyrus,11454589,0,0
2024-11-28,SZA,111395671,0,0
2024-11-28,Harry Styles,10775785,0,0
2024-11-28,Jack Harlow,0,0,0
2024-11-28,Tate McRae,21310303,0,0
2024-12-05,Billie Eilish,107088110,1,0
2024-12-05,Noah Kahan,11312950,1,0
2024-12-05,Dua Lipa,0,0,0
2024-12-05,Travis Scott,23433423,0,0
2024-12-05,Ed Sheeran,31115490,0,0
2024-12-05,Miley Cyrus,10772845,0,0
2024-12-05,SZA,100968243,0,0
2024-12-05,Harry Styles,10637398,0,0
2024-12-05,Jack Harlow,0,0,0
2024-12-05,Tate McRae,10181052,0,0
2024-12-12,Billie Eilish,107701978,1,0
2024-12-12,Noah Kahan,11985065,1,0
2024-12-12,Dua Lipa,0,0,0
2024-12-12,Travis Scott,23702022,0,0
2024-12-12,Ed Sheeran,31450417,0,0
2024-12-12,Miley Cyrus,10183690,0,0
2024-12-12,SZA,96464727,0,0
2024-12-12,Harry Styles,9922938,0,0
2024-12-12,Jack Harlow,0,0,0
2024-12-12,Tate McRae,11162923,0,0
2024-12-19,Billie Eilish,106221965,1,0
2024-12-19,Noah Kahan,10600901,1,0
2024-12-19,Dua Lipa,0,0,0
2024-12-19,Travis Scott,21626974,0,0
2024-12-19,Ed Sheeran,35346367,0,0
2024-12-19,Miley Cyrus,10304355,0,0
2024-12-19,SZA,93262899,0,0
2024-12-19,Harry Styles,9957996,0,0
2024-12-19,Jack Harlow,0,0,0
2024-12-19,Tate McRae,10484492,0,0
2024-12-26,Billie Eilish,95237951,1,0
2024-12-26,Noah Kahan,0,1,0
2024-12-26,Dua Lipa,0,0,0
2024-12-26,Travis Scott,12138695,0,0
2024-12-26,Ed Sheeran,49951016,0,0
2024-12-26,Miley Cyrus,9523995,0,0
2024-12-26,SZA,120174386,0,0
2024-12-26,Harry Styles,0,0,0
2024-12-26,Jack Harlow,0,0,0
2024-12-26,Tate McRae,0,0,0
2025-01-02,Billie Eilish,98606543,1,0
2025-01-02,Noah Kahan,10259157,1,0
2025-01-02,Dua Lipa,0,0,0
2025-01-02,Travis Scott,36263612,0,0
2025-01-02,Ed Sheeran,19378723,0,0
2025-01-02,Miley Cyrus,10771346,0,0
2025-01-02,SZA,132653130,0,0
2025-01-02,Harry Styles,9981815,0,0
2025-01-02,Jack Harlow,0,0,0
2025-01-02,Tate McRae,9535566,0,0
